,portfolio,alpha,VaR,CVaR
0,Tech,0.95,0.014564848835974146,-0.018932530424641953
1,Tech,0.99,0.020722060490095798,-0.02437605212214317
2,Financials,0.95,0.013740026506439707,-0.019094356003267646
3,Financials,0.99,0.019775371572444727,-0.024430136818389212
4,Healthcare,0.95,0.014444459419080279,-0.018925731809981753
5,Healthcare,0.99,0.020578292419485274,-0.024348584702200016
6,Total_equal_weight,0.95,0.00829163770629183,-0.01151245745986709
7,Total_equal_weight,0.99,0.011931862949219246,-0.014730739728985188
8,Total_sector_equal,0.95,0.00829163770629183,-0.01151245745986709
9,Total_sector_equal,0.99,0.011931862949219246,-0.014730739728985188
